Date,High,Low,Close,Volume,plus_di,minus_di,adx,rsi_14,buy_price,sell_price,adx_rsi_signal,position
2020-01-27,552.0047901463947,533.5256598324811,548.024658203125,3654906,41.4095302125601,15.879120608463376,32.51227508365246,100.0,,,0,0
2020-01-28,558.8752435009552,538.7377294282205,542.5283203125,3689004,40.06452101372079,13.260253609858319,34.99162831608407,83.58318321704024,,,0,0
2020-01-29,550.2989900438675,542.1966143792349,547.50341796875,1934080,38.39090667910566,12.706333334248615,37.68726824448098,85.8479396106694,,547.50341796875,-1,0
2020-01-30,556.7904378457805,534.3311740420801,538.1217651367188,2901951,36.749783213966694,16.384780605064897,39.559953300703924,67.06069721620074,,,0,0
2020-01-31,546.7927420953476,535.7052520481524,537.4584350585938,2352196,33.246820344419895,14.822995117758953,39.37905122308456,65.96154211755356,,,0,0
2020-02-03,536.1317106852815,507.18108370011356,529.4508056640625,3818209,26.926649219134234,29.903970405628016,38.912968037646195,54.37510341423052,,,0,0
2020-02-04,548.4984940282461,529.5455394464834,546.697998046875,2793702,31.36627613604535,26.58384705444337,34.62569834472069,67.58294500741036,,,0,0
2020-02-05,558.9700587578221,547.1718893484533,553.7579956054688,3320830,33.759736828425204,23.530258385824933,31.51088933906728,71.2516568766207,,,0,0
2020-02-06,558.3067232471772,545.8925023912673,549.7778930664062,2207104,30.34720240709829,21.860975700396562,29.92044207679397,66.67076660261075,,,0,0
2020-02-07,551.0571912093927,531.9146942374201,539.3063354492188,4083215,26.581925523798304,26.457883912788787,28.282021204113885,56.39734142341668,,,0,0
2020-02-10,537.3162053530278,498.5100233984561,500.7370300292969,9648880,21.967656713791076,37.41134429592729,25.492144649262922,35.00295799474996,,,0,0
2020-02-11,509.55019113862863,495.3354753239365,496.6147766113281,5404802,19.62385915114125,34.841106791496955,25.559455563477812,33.53854713526388,,,0,0
2020-02-12,506.3281842776436,496.4726823227456,503.2009582519531,3426829,18.570547577170494,32.97100872613755,25.796792501310964,38.00150744549322,,,0,0
2020-02-13,509.83459105871526,500.64239448467004,505.6649169921875,3392352,18.553201769047188,30.14352654945649,25.97591747571368,39.63465451109526,,,0,0
2020-02-14,508.8394480629274,493.39280200007425,495.6197509765625,3507540,17.30356380897671,31.384292513416867,25.80483872890031,35.5260065855699,,,0,0
2020-02-17,497.8941019259817,488.98619081779054,495.3828125,2652464,16.718320808371974,32.39162486416943,26.112553073932947,35.43270450899753,,,0,0
2020-02-18,497.420308336457,487.1856667508873,495.8092956542969,2868873,15.279925983553962,30.43675659944547,26.645786470625094,35.759746214489624,,,0,0
2020-02-19,501.92159063902255,494.48252203557485,498.84173583984375,1952880,17.269600033610168,30.00184599014964,27.184406453355134,38.15828695469084,,,0,0
2020-02-20,505.0963085038019,495.6198299202409,497.3729553222656,2077458,17.621268616552374,27.90306917400269,27.135451369640315,37.4293310465487,,,0,0
2020-02-24,494.6721131305385,484.3427586978107,486.33282470703125,1911411,17.669233153932353,33.96196212291569,26.799468866030864,32.41652561779787,,,0,0
2020-02-25,492.3029692982198,479.6044961821134,482.3052978515625,2105613,16.858089614777185,34.98579797437673,27.223038784652957,30.79615557889845,,,0,0
2020-02-26,485.6221228061766,473.8238962222757,476.6668395996094,3058370,15.621030291849289,35.56302172756532,27.894220997495385,28.63793400133683,,,0,0
2020-02-27,477.61445520279256,462.025638499736,467.6641540527344,6039260,14.212738135787003,38.64543588713355,28.851169704389036,25.558117871398267,,,0,0
2020-02-28,459.60914062417584,429.8530082316654,433.12237548828125,8613275,12.012796078652583,48.27246132097261,30.351424968016165,17.695047829408253,,,0,0
2020-03-02,447.71618439987566,421.08727723674866,434.30694580078125,9225488,11.893087520189997,52.32568721342302,32.77678574151772,18.61971052675227,,,0,0
2020-03-03,446.34208604746146,431.41663412549224,441.84075927734375,4582866,10.968444873544044,48.2575626132759,35.194519391487376,24.434321454118162,441.84075927734375,,1,1
2020-03-04,452.0279421816458,433.54881246981756,449.80096435546875,5912943,12.533543447250036,42.852963460989876,37.352851106377805,30.115958891230065,,,0,1
2020-03-05,457.24006510501727,444.4468197601101,454.20758056640625,4081050,13.921846936185284,39.015193266141736,38.681474177344334,33.114080777200115,,,0,1
2020-03-06,448.9481334321818,432.6012093124876,446.34210205078125,4502562,12.534726028744329,40.66075151463986,39.3940636561385,30.59133059444899,,,0,1
2020-03-09,441.3195587746123,417.9126483103527,438.950439453125,4540694,10.67026437598849,40.90225625319016,40.4730054127386,28.401528228851745,,,0,1
2020-03-11,445.06276361253606,426.1572081986792,427.9577331542969,5104905,11.08596162685048,36.578515083667675,41.84562025666437,25.48034360013358,,,0,1
2020-03-12,413.12701189300014,378.72738423758074,401.1866455078125,9408350,8.799330575923566,45.752888698626165,42.817037978354406,20.06719408117965,,,0,1
2020-03-13,426.2045748328934,327.5544384427867,406.39874267578125,6230411,9.767040185085158,46.252193143200834,44.70562106249098,23.475784358338004,,,0,1
2020-03-16,406.1618136179495,368.44541747040705,371.2883605957031,3156508,8.496662689308307,40.2362718214914,46.25733568368764,17.929270550447484,,,0,1
2020-03-17,386.64030440426524,350.5823169953142,353.8516845703125,4526913,7.447579369140173,39.523797348612405,47.70173660729292,15.917873281235742,,,0,1
2020-03-18,363.61241104342145,321.34732051457246,328.26513671875,6595508,6.446924111537382,40.70599141403269,49.27573430283468,13.520851605007579,,,0,1
2020-03-19,314.42952394907365,286.1896314832611,297.7509460449219,10486153,5.6519384098907555,43.058104681537806,51.05191018334097,11.329667253245333,,,0,1
2020-03-20,311.0180150278232,292.1124301234032,305.711181640625,8819518,5.453481145594834,41.54619973120935,52.976206166607746,15.190900802942096,,,0,1
2020-03-23,287.9901261478583,265.9099466200289,278.0398254394531,6001358,4.918935216513338,43.019248496282785,54.765037754565896,13.061615591947728,,,0,1
