Date,High,Low,Close,Volume,upper_bb,middle_bb,lower_bb,%k,%d,buy_price,sell_price,bb_stoch_signal,position
2020-01-28,116.22435897151483,112.72416226953,113.17290496826172,10274562,131.40868559036974,111.94745912398574,121.67807235717774,,,,,0,1
2020-01-29,115.47646748136859,112.48484915283574,114.30973815917969,10602818,130.99838609967105,111.1072672816766,121.05282669067383,,,,,0,1
2020-01-30,115.08755501278387,112.18568172690362,112.45492553710938,10859103,130.68730334556795,110.03323193275237,120.36026763916016,,,,,0,1
2020-01-31,113.35239287392896,107.6982372445297,108.71538543701172,35281395,130.5561178638102,108.36047149165857,119.45829467773437,,,,,0,1
2020-02-03,107.36917127877264,103.00140704734827,106.89051055908203,15284598,130.93331182245137,106.3648121094334,118.64906196594238,,,,,0,1
2020-02-04,109.49323074131794,107.54867882924536,109.1940689086914,10043759,130.74448097144185,105.16553337181985,117.95500717163085,,,,,0,1
2020-02-05,110.0915254941379,106.80074619947617,107.2494888305664,9468632,130.94223236477697,103.71429229342614,117.32826232910156,,,,,0,1
2020-02-06,108.65555902559532,106.65117150531539,107.66831970214844,6917941,131.0530610488054,102.52349000710278,116.7882755279541,,,,,0,1
2020-02-07,111.31811888768904,106.5614476115537,110.71979522705078,13470302,130.39487439176037,101.97007540682361,116.18247489929199,,,,,0,1
2020-02-10,110.68987981859061,106.29219715770385,107.01019287109375,19665611,129.09433181262628,101.31410248302802,115.20421714782715,,,,,0,1
2020-02-11,108.595741241064,105.45454211425637,107.3093490600586,16397703,127.2536467432261,101.14442073113914,114.19903373718262,,,,,0,1
2020-02-12,109.73253649807535,106.62125583339369,107.87773895263672,14669421,125.0620407436233,101.41241756936498,113.23722915649414,,,,,0,1
2020-02-13,108.2666429938271,105.21519841040589,106.38192749023438,11781999,122.87488405207839,101.6580131342009,112.26644859313964,,,,,0,1
2020-02-14,107.04008417325934,104.22796518992945,104.55704498291016,15392705,120.7594327098648,101.79002178842623,111.27472724914551,11.76467966066466,,,,0,1
2020-02-17,104.82627641691094,99.80036261878818,100.42860412597656,15997350,119.93238421465988,100.62465008709795,110.27851715087891,4.00763782008131,,,,0,1
2020-02-18,104.07838875944647,98.72339434658555,102.82191467285156,27643844,118.17336987487371,100.57074481018489,109.3720573425293,25.045710622555085,13.606009367767017,,,0,1
2020-02-19,106.83068097124739,104.25788765651097,106.35202026367188,21092109,117.45663508199702,100.44085255838384,108.94874382019043,52.14728747718087,27.066878639939087,,,0,1
2020-02-20,107.84783668706218,104.826300462956,107.3093490600586,16776977,116.78132446912454,100.43407546373678,108.60769996643066,68.17104006881904,48.45467938951833,,,0,1
2020-02-24,107.04010895422869,103.68950162827733,104.61690521240234,9952676,115.59552555923142,100.47707881088576,108.03630218505859,46.79348759540582,55.70393838046857,,,0,1
2020-02-25,106.9204236790174,104.2279675247236,104.76646423339844,13534936,114.25927505130076,100.72138977413869,107.49033241271972,47.98096113250463,54.31516293224316,,,0,1
2020-02-26,106.35202394488505,103.3005698169517,103.9886474609375,10925243,113.41186216803777,100.65037690666927,107.03111953735352,41.805226443568046,45.52655839049283,,,0,1
2020-02-27,104.4373803757104,101.47568054698635,104.16813659667969,11500515,112.01981183690533,101.0282670815517,106.52403945922852,43.23034007075708,44.338842548943255,,,0,1
2020-02-28,102.79200392773745,99.77046769775853,100.75769805908203,14694382,111.26440540580197,100.61395076485232,105.93917808532714,17.000009879723024,34.01185879801605,,,0,1
2020-03-02,104.70664359632751,100.69787678172136,101.32611846923828,11962711,111.10512509145013,100.03430438242682,105.56971473693848,23.64147984319124,27.957276597890445,,,0,1
2020-03-03,107.4888520480974,102.25351952722467,106.62128448486328,17015816,111.07943558643125,100.03307128002383,105.55625343322754,71.73937832394107,37.46028934895178,,,0,1
2020-03-04,107.57858013179673,104.16813759542507,106.56143188476562,9858330,110.70280834432592,100.14643481973658,105.42462158203125,82.13175437324097,59.1708708467911,,,0,1
2020-03-05,107.81789233706424,103.03130436090429,105.99300384521484,12349902,110.57807638185204,100.1455182836753,105.36179733276367,79.67182242339152,77.84765170685786,,,0,1
2020-03-06,103.50999285662616,99.62088907877605,100.96711730957031,10629291,110.47492967439189,99.57854475187764,105.02673721313477,24.59024759279214,62.13127479647488,,,0,1
2020-03-09,99.74053432898755,93.9068796948512,94.50520324707031,23967899,110.80370624585424,97.62830898241725,104.21600761413575,4.291839882680979,36.18463663295488,,,0,1
2020-03-11,101.65519056253419,93.96673667804862,100.51837921142578,28399797,110.53888934863834,97.24394451366636,103.89141693115235,47.425004755903934,25.435697410459017,,,0,1
2020-03-12,97.52674948109751,89.80837848079004,92.47091674804688,33250878,111.32692041590508,94.97207021519844,103.14949531555176,14.759524575583407,22.15878973805611,,,0,1
2020-03-13,96.65917665274003,73.9827119456774,92.20166778564453,43328010,111.57490356887031,93.15647994553397,102.36569175720214,53.846190944514646,38.67690675866733,,,0,1
2020-03-16,90.55628064238604,85.6201109352721,86.09876251220703,23542677,112.87503821947263,89.82802879712892,101.35153350830078,35.80903197907562,34.80491583305789,,,0,1
2020-03-17,92.97949251941054,85.14145810119197,87.29541778564453,18989633,113.49176274434573,87.48514155252927,100.4884521484375,39.34575103774546,43.00032465377857,,,0,1
2020-03-18,90.85546073596942,85.56029215031312,86.78685760498047,18737193,114.18166644481762,85.43106319995776,99.80636482238769,37.84269955469936,37.66582752384014,,,0,1
2020-03-19,87.08036021609557,79.57905577800493,80.59010314941406,28547877,115.34626483287188,82.04328365955975,98.69477424621581,19.52816898655773,32.23887319300085,,,0,1
2020-03-20,88.58064173602226,80.00306038244844,86.623779296875,24022133,114.7819366518065,80.63478774394544,97.70836219787597,37.36072101573764,31.57719651899824,,,0,1
2020-03-23,87.96095197455408,78.30709733060547,83.39493560791016,17884315,114.09707399739145,78.92820905314565,96.51264152526855,27.817861626145664,28.235583876147007,83.39493560791016,,1,1
2020-03-24,88.05879109452424,81.82944499314046,83.39493560791016,9991023,113.53110277082322,77.37198331926467,95.45154304504395,27.817861626145664,30.998814756009654,,,0,1
2020-03-25,84.30813492924334,80.68793836332217,81.20977020263672,8339454,112.86034318338402,75.6870735036277,94.27370834350586,21.35959723979796,25.66510683069643,,,0,1
2020-03-26,82.84050226114826,77.75265839936789,80.39442443847656,28364001,112.07525851338286,74.11273587138277,93.09399719238282,21.71453752255832,23.630665462833985,,,0,1
2020-03-27,86.72160156158144,81.53591909759727,85.90624237060547,18332679,110.6697141940123,73.6920907681459,92.1809024810791,43.08804639445927,28.72072705227185,,,0,1
2020-03-30,87.89572989386575,82.97095787950458,86.85206604003906,12357349,109.65956694225528,73.31167481799864,91.48562088012696,46.505968159000595,37.10285069200606,,,0,1
2020-03-31,92.8531226248934,87.56959029089974,91.35285949707031,14997503,108.5614456400704,73.41247022296672,90.98695793151856,73.77726749399258,54.45709401581748,,,0,1
2020-04-01,92.13559853955495,89.39599335236487,90.96147918701172,8833033,106.16711234974335,74.2408229835086,90.20396766662597,74.87396056073172,65.05239873790829,,,0,1
2020-04-03,91.25500644568503,85.97148429419417,89.85259246826172,10936160,103.35349512336566,75.3835562682359,89.36852569580078,79.46454248796884,76.03859018089771,,,0,1
2020-04-07,92.88570671471408,89.46119842009477,91.41806030273438,8203204,100.30355849980221,76.97599853755132,88.63977851867676,89.74552290800294,81.36134198556783,,,0,1
2020-04-08,93.53801342054899,89.36337785248246,89.59168243408203,7070293,98.21399180056997,77.92802174923472,88.07100677490234,75.0000492154171,81.40337153712963,,,0,1
2020-04-09,92.26603904944993,90.01564979519301,91.84205627441406,5078557,97.79096010091403,78.08473875162504,87.93784942626954,89.25613555185005,84.6672358917567,,,0,1
2020-04-13,95.69056362206787,90.24396957440136,95.16873168945312,10691543,96.29997330502488,79.04076079531691,87.6703670501709,97.0908981503906,87.11569430588592,,,0,1
2020-04-15,98.88676357152693,95.23395052889859,95.78839874267578,10487965,96.9673317213064,78.7051505784983,87.83624114990235,85.33950312250377,90.56217894158146,,,0,1
2020-04-16,98.16925061951306,94.1902936231238,96.14715576171875,9736774,97.71557578579578,78.35145531161632,88.03351554870605,87.03702954304782,89.8224769386474,,,0,1
2020-04-17,99.44120943156784,96.73422077652616,97.02774810791016,7093925,99.00722357179185,78.15270608519057,88.57996482849121,88.87218735786206,87.0829066744712,,,0,1
2020-04-20,97.77786545155786,93.27708691721767,94.05982971191406,7139688,99.60558762871437,78.230783220895,88.91818542480469,75.18792421096134,83.69904703729041,,,0,1
2020-04-21,92.36390480394778,89.88521055960794,90.66795349121094,6501336,99.77761629628527,78.44686414194716,89.11224021911622,51.001878345910065,71.68732997157782,,,0,1
2020-04-22,92.16820899068763,88.05879649687694,91.7768325805664,5604252,99.60323536456804,79.73991801677963,89.67157669067383,53.46533216706515,59.88504490797885,,,0,1
2020-04-23,94.41859014685042,91.38545807156534,91.90727996826172,7553183,99.80695695428417,80.06454649420215,89.93575172424316,44.067682254315926,49.51163092243038,,,0,1
2020-04-24,93.79893707193818,88.58063748466058,89.3633804321289,11701166,99.62181990143566,80.84652802947255,90.2341739654541,25.1816284544919,40.904880958624325,,,0,1
2020-04-27,91.12455606249226,89.68952564283032,90.08090209960938,4238903,99.38974693953895,81.74719764053918,90.56847229003907,30.508549829372832,33.25262017939355,,,0,1
2020-04-28,91.02670845354329,87.70003873986491,88.31970977783203,7064210,98.66401927049347,83.18391926710419,90.92396926879883,5.277761939063049,20.322646740975927,,,0,1
2020-04-29,91.87466888254089,88.28708878344878,91.22238159179688,7399346,97.4110914533108,85.51964279961888,91.46536712646484,29.99992883521471,21.92874686788353,,,0,1
2020-04-30,97.48435613736886,92.20083383331546,96.86468505859375,13145052,97.82008513766118,86.20649338406733,92.01328926086425,78.05564333721144,37.77777803716307,,,0,1
2020-05-04,94.38598908486185,91.5485447375999,92.82050323486328,8356099,97.59120330755796,87.03221893365297,92.31171112060547,43.611192013559794,50.55558806199531,,,0,1
2020-05-05,96.04930544590604,89.59166512212992,90.0156478881836,11879416,97.60866757282332,86.88103350749896,92.24485054016114,19.722131711746975,47.129655687506066,,,0,1
2020-05-06,90.89625209885362,86.85206230407424,87.24343872070312,10427774,97.85070162698229,86.26719540670912,92.0589485168457,3.1088398019763788,22.147387842427715,,,0,1
2020-05-07,86.75422121907222,84.79735908631119,85.3191909790039,10860354,98.30269138982159,85.36186549494404,91.83227844238282,3.5634882929662375,8.798153268896531,,,0,1
