Date,High,Low,Close,Volume,obv,macd,macd_signal,macd_hist,rsi_14,buy_price,sell_price,obv_macd_rsi_signal,position
2020-01-07,307.3204123644824,300.2002833124472,302.9906005859375,2146089,-4376304,-1.6533886184662379,-0.5953698710323466,-1.0580187474338913,21.044427968293803,,,0,0
2020-01-08,305.3478938439795,299.7191337736228,304.28948974609375,1521535,-2854769,-1.8398224544379786,-0.8442603877134731,-0.9955620667245055,28.82172958912757,,,0,0
2020-01-09,317.5194711537122,305.3959945642521,316.1242980957031,4302141,1447372,-1.0208349367326264,-0.8795752975173038,-0.14125963921532259,63.80533392492091,,,0,0
2020-01-10,330.31651121407117,316.6054408611088,328.4402770996094,10109760,11557132,0.6149266565017797,-0.5806749067134871,1.1956015632152668,76.66094610553492,,,0,0
2020-01-13,340.4674883372885,329.1137437358242,339.6015319824219,7399348,18956480,2.7798550560237345,0.0914310858339572,2.688423970189777,82.66865853903637,,,0,0
2020-01-14,377.17467482839544,344.4605448687897,374.8654479980469,44997621,63954101,7.257420691584912,1.5246290069841484,5.732791684600763,90.76078994437663,,,0,0
2020-01-15,380.97535023359376,370.43946285633916,376.6455383300781,24437080,88391181,10.824780795031756,3.38465936459367,7.4401214304380865,90.9894951546197,,,0,0
2020-01-16,378.13685090679894,367.74531560434326,369.7177734375,12118796,76272385,12.943719508067602,5.296471393288456,7.647248114779146,82.43688684485903,,,0,0
2020-01-17,369.47725433268573,362.35712561666577,365.91717529296875,5495593,70776792,14.153168283012633,7.067810771233292,7.085357511779341,78.09977516078413,,,0,0
2020-01-20,370.92052299395806,362.838213968718,368.6593933105469,7618479,78395271,15.158204876944296,8.685889592375494,6.472315284568802,78.95990008445524,,,0,0
2020-01-21,374.67299181263286,364.71442013090325,371.2091369628906,5981471,84376742,15.976281988309097,10.143968071562215,5.832313916746882,79.75603691949092,,,0,0
2020-01-22,374.14382112327706,367.7453279052654,370.4875183105469,4148230,80228512,16.377594681774838,11.390693393604739,4.986901288170099,78.84671131871922,,,0,0
