Date,High,Low,Close,Volume,upper_bb,middle_bb,lower_bb,kc_middle,kc_upper,kc_lower,rsi_14,buy_price,sell_price,bb_kc_rsi_signal,position
2020-01-28,1633.0659324556052,1605.39952242774,1621.1519775390625,1981104,1714.406463210668,1649.7929382324219,1585.1794132541756,1644.5290003737196,1719.65124668185,1569.4067540655892,43.46926872331643,,,0,1
2020-01-29,1641.24122462148,1618.161055019071,1635.508544921875,2227493,1712.3700588302975,1648.1179992675782,1583.8659397048589,1643.8589428406456,1715.7291652733659,1571.9887204079253,47.174119704664534,,,0,1
2020-01-30,1635.359088226652,1612.6277183838454,1623.3453369140625,1590156,1710.509141450332,1645.9595153808593,1581.4098893113867,1642.3747246743903,1711.348895429069,1573.4005539197117,44.512474972385775,,,0,1
2020-01-31,1723.791971767285,1678.0801037390809,1686.6541748046875,9495046,1714.729891023099,1647.6868041992188,1580.6437173753386,1645.5011415401361,1728.9501149963721,1562.0521680839001,57.84462355412386,,,0,1
2020-02-03,1675.7372712528233,1629.0781899585197,1671.200927734375,2510294,1716.730588365362,1648.8682373046875,1581.0058862440128,1647.2749383540868,1734.169015066729,1560.3808616414447,54.40818100419163,,,0,1
2020-02-04,1697.6708933920581,1665.1192170196969,1693.1844482421875,2070417,1720.5956660615357,1650.2366088867188,1579.877551711902,1650.3772169635763,1734.9236870738534,1565.8307468532992,58.21151843480503,,,0,1
2020-02-05,1702.306915200009,1672.0483572372214,1684.6602783203125,2096512,1723.9978570063085,1651.9763671875,1579.9548773686915,1652.6485292243792,1734.626084206063,1570.6709742426954,56.25197344191214,,,0,1
2020-02-06,1692.7856752815585,1662.9757145707324,1668.9576416015625,2532618,1724.7640359832894,1652.4225219726563,1580.0810079620233,1653.7092717167723,1733.313027546042,1574.1055158875026,52.73058397244697,,,0,1
2020-02-07,1672.8955767741218,1639.0478907287413,1648.0706787109375,2290151,1722.0558282472289,1650.8447875976562,1579.6337469480836,1653.3488177829122,1731.6959712512037,1575.0016643146207,48.39118161967112,,,0,1
2020-02-10,1669.555690660371,1640.742719846945,1664.271728515625,1355124,1719.3549225227177,1649.7580810546874,1580.161239586657,1654.0358742239662,1730.2084826374528,1577.8632658104796,51.71066936650247,,,0,1
2020-02-11,1680.7220400110639,1661.5300253396304,1672.3970947265625,1914766,1719.4310121729918,1649.790478515625,1580.149944858258,1655.1734206463657,1727.3998897361428,1582.9469515565886,53.33192504758701,,,0,1
2020-02-12,1714.8189883575146,1669.9545380807192,1709.734375,3010537,1725.907311262453,1651.7495666503905,1577.591822038328,1658.505906067397,1732.5520423224873,1584.4597698123068,59.980865412160895,,,0,1
2020-02-13,1709.5349826008248,1677.2326742863952,1684.7100830078125,2246920,1724.0092833259516,1651.163836669922,1578.3183900138922,1660.0851549196386,1733.1948637344346,1586.9754461048426,54.387940751427394,,,0,1
2020-02-14,1697.8701027178554,1658.5887618493937,1675.886474609375,1892157,1721.4696086148333,1650.3089111328125,1579.1482136507916,1661.0255598325937,1734.6979547139874,1587.3531649512,52.528053327571484,,,0,1
