Date,High,Low,Close,Volume,wr_14,macd,macd_signal,macd_hist,buy_price,sell_price,wr_macd_signal,position
2020-01-20,1925.0445927292592,1901.026832093132,1912.943115234375,829399,-7.701290745492469,26.86423380278211,13.473257478549202,13.390976324232907,,,0,1
2020-01-21,1924.2103097452664,1903.020722521728,1906.0345458984375,750000,-12.097853158135097,28.876177918255962,16.553841566490554,12.322336351765408,,,0,1
2020-01-22,1913.545812810285,1879.8836822360822,1902.603271484375,983169,-14.281490809110831,29.849694261528157,19.213012105498073,10.636682156030083,,,0,1
2020-01-23,1911.0886727860536,1887.1170948059491,1907.425537109375,708017,-11.212636642682092,30.65693544344731,21.50179677308792,9.155138670359388,,,0,1
2020-01-24,1927.919901281806,1901.0737314860414,1923.0050048828125,914993,-3.0715988198046604,32.18282912125437,23.63800324272121,8.54482587853316,,,0,1
2020-01-27,1918.4146442026745,1907.286680103372,1911.552490234375,429312,-10.2289278095144,32.09798306642733,25.329999207462436,6.767983858964897,,,0,1
2020-01-28,1914.9368517495636,1894.2573431312628,1910.856689453125,777052,-12.432646151451083,31.610213780905724,26.586042122151095,5.024171658754629,,,0,1
2020-01-29,1934.2255053857805,1912.2014116675348,1923.4683837890625,873433,-7.525198154520889,31.873889087925818,27.64361151530604,4.2302775726197765,,,0,1
2020-01-30,1926.9922333130644,1900.5169097555545,1908.5384521484375,952768,-21.50623149636414,30.526245404567817,28.220138293158396,2.306107111409421,,,0,1
2020-01-31,1917.9508605259443,1873.2535861019599,1886.421630859375,1930834,-49.85490449069015,27.35821694121887,28.04775402277049,-0.6895370815516202,,,0,1
2020-02-03,2035.9999738678646,1924.1174434648553,2020.606201171875,4012542,-8.375428354608715,35.268551053937244,29.491913429003844,5.7766376249334,,,0,1
2020-02-04,2044.0213629503537,1984.4868041069444,1998.9532470703125,1932121,-25.837240511301975,39.33688427883226,31.460907598969527,7.875976679862731,,,0,1
2020-02-05,2025.288957595386,1997.3762307612533,2003.311279296875,1514368,-23.839441143290614,42.423690552548805,33.65346418968539,8.770226362863419,,,0,1
2020-02-06,2036.6491488957856,1978.9692501522186,1999.6949462890625,1302116,-25.957131655255907,44.07018525010744,35.7368084017698,8.333376848337643,,,0,1
2020-02-07,2014.1613133261483,1985.9705641412154,2002.9869384765625,908152,-24.02937206954519,45.120558703321876,37.61355846208021,7.507000241241663,,,0,1
2020-02-10,2030.436389073057,1995.3368417243441,2002.3846435546875,1389847,-24.382070296921956,45.38126014778959,39.16709879922209,6.214161348567501,,,0,1
2020-02-11,2021.2554480185088,1991.6272894777098,1996.217529296875,777506,-27.993474258272116,44.57638452789979,40.24895594495763,4.3274285829421615,,,0,1
2020-02-12,2106.8943715292307,1998.3967300376287,2096.091064453125,4753325,-4.623896061789544,51.4049105985373,42.48014687567356,8.924763722863737,,,0,1
2020-02-13,2122.6123037895672,2070.7746389097683,2117.465576171875,2950407,-2.0639854364907295,57.87417371864012,45.55895224426688,12.315221474373246,,,0,1
2020-02-14,2130.6342196654437,2083.015717489554,2091.17626953125,1728651,-15.33058240936423,60.185997300452755,48.484361255504055,11.7016360449487,,,0,1
2020-02-17,2122.65878070589,2080.1870132083895,2088.904052734375,1420851,-16.213405940185382,61.130115321775065,51.01351206875826,10.116603253016805,,,0,1
2020-02-18,2098.501687873969,2060.6203876235804,2072.0263671875,1194605,-22.77088670833807,59.82680135956457,52.77616992691952,7.050631432645048,,,0,1
2020-02-19,2140.463774870624,2078.3790559362874,2125.580078125,1299800,-5.570033393640379,62.39599042282339,54.7001340261003,7.695856396723087,,,0,1
2020-02-20,2123.539741155662,2079.5379685501916,2084.8701171875,1555224,-25.696602906039256,60.450304167708964,55.850168054422035,4.600136113286929,,,0,1
2020-02-24,2097.6210503971342,2049.492700410483,2054.175537109375,1409245,-53.43106084352273,55.78844325883483,55.8378230953046,-0.04937983646976818,,,0,1
2020-02-25,2114.0347002820927,2064.0052791746175,2071.284912109375,2237493,-42.83666141739156,52.86507282300681,55.24327304084505,-2.378200217838234,,2071.284912109375,-1,0
2020-02-26,2091.778986411425,2042.3060489960853,2073.696044921875,2896154,-41.34364930648301,50.1645729871243,54.2275330301009,-4.062960042976599,,,0,0
2020-02-27,2095.4880705352916,2040.1265012139634,2091.083251953125,2446802,-31.96290806848978,48.86413438330305,53.15485330074133,-4.2907189174382765,,,0,0
2020-02-28,2067.3901827701247,1998.3968955887528,2016.711669921875,3837330,-83.14634991686026,41.35564022245126,50.79501068508332,-9.439370462632063,,,0,0
2020-03-02,2079.027809586745,1986.2021962916026,2002.5230712890625,1707337,-89.42000001050202,33.86977350779921,47.4099632496265,-13.540189741827291,,,0,0
2020-03-03,2030.4822376945897,1986.062986561198,2009.1998291015625,1753148,-85.01507486218446,28.151416750504495,43.55825394980211,-15.406837199297613,,,0,0
2020-03-04,2026.263205374489,1995.614892347437,2017.7318115234375,1515878,-79.4892077242677,24.03102282615805,39.652807725073295,-15.621784898915244,,,0,0
2020-03-05,2094.513992386374,2023.2952234379015,2056.818115234375,2272645,-54.1743734291171,23.646931895691978,36.45163255919703,-12.804700663505052,,,0,0
2020-03-06,2086.492848772895,2002.3376372057214,2029.8328857421875,2479414,-71.65176443706187,20.923857367936307,33.34607752094489,-12.422220153008581,,,0,0
2020-03-09,2011.9359783453674,1958.5216606764081,1967.331298828125,2485118,-95.15799946002996,13.5660643246365,29.390074881683212,-15.824010557046712,,,0,0
2020-03-11,2011.7966056149687,1915.8643346233325,1998.396728515625,2861629,-63.25351755043489,10.124966566927014,25.537053218731973,-15.412086651804959,,,0,0
2020-03-12,1968.7219672893473,1884.0103781949615,1906.54443359375,3655780,-90.59236198841907,-0.013683026948456245,20.426905969595886,-20.440588996544342,,,0,0
2020-03-13,1965.9400621062448,1750.8921619180269,1885.44775390625,3667035,-62.94689336193232,-9.639839543922562,14.413556866892197,-24.05339641081476,,,0,0
