Date,High,Low,Close,upper_bb,middle_bb,lower_bb,%k,%d,buy_price,sell_price,bb_stoch_signal,position
2020-01-28,2038.7709928626937,2005.4095798153978,2034.996826171875,2091.4332032613697,1998.8935667581613,2045.1633850097655,,,,,0,1
2020-01-29,2037.9785099812045,2003.5455288364897,2007.832275390625,2092.1871307933643,1997.3858306324166,2044.7864807128906,,,,,0,1
2020-01-30,2017.5238858904004,1980.2486177908086,1992.223388671875,2094.208322549023,1993.9750636814463,2044.0916931152344,,,,,0,1
2020-01-31,1998.2803801763273,1930.4859944476532,1937.428466796875,2107.807884251782,1969.5084121349366,2038.6581481933595,,,,,0,1
2020-02-03,2045.2004413277302,1950.614461734519,1959.281005859375,2111.9027576399267,1956.7502941178857,2034.3265258789063,,,,,0,1
2020-02-04,1991.151636493954,1944.4644985731463,1964.1737060546875,2113.1561373362324,1946.8208524098613,2029.9884948730469,,,,,0,1
2020-02-05,2009.7890739846434,1960.9585673807426,2000.33056640625,2103.0229888304543,1947.300558532827,2025.1617736816406,,,,,0,1
2020-02-06,2026.0972470246102,1971.395834026366,1983.37060546875,2099.691486882532,1943.0854296213743,2021.3884582519531,,,,,0,1
2020-02-07,2004.4778542272932,1974.6576351035028,1991.01220703125,2095.459397504549,1940.6094379446693,2018.0344177246093,,,,,0,1
2020-02-10,2019.3873217503503,1974.6570072861064,2014.6812744140625,2093.8839703160343,1940.0007342738093,2016.9423522949219,,,,,0,1
2020-02-11,2026.6562711336037,2001.3091355904019,2006.7138671875,2089.9361752569075,1939.4288760126235,2014.6825256347656,,,,,0,1
2020-02-12,2036.1613935140863,2003.5455359520759,2022.882080078125,2082.9933710624236,1941.6093755196073,2012.3013732910156,,,,,0,1
2020-02-13,2047.3442319959163,2023.1153061734794,2042.63818359375,2074.8918723963207,1945.8177345372733,2010.354803466797,,,,,0,1
2020-02-14,2061.322249424718,2023.1151010402634,2035.4158935546875,2069.790419095711,1948.1354109824138,2008.9629150390624,80.19940583397793,,,,0,1
2020-02-17,2065.9815853754753,2041.0071120484251,2053.168212890625,2074.61069729235,1946.8392416724935,2010.7249694824218,90.54332882929307,,,,0,1
2020-02-18,2069.7097629365057,2037.1405350416007,2064.8173828125,2081.314966086853,1944.7588498311154,2013.0369079589843,96.48595913103914,89.07623126477006,,,0,1
2020-02-19,2078.0963784910377,2041.2870480200083,2046.7386474609375,2080.47316857072,1945.0834720542798,2012.7783203125,78.75641931743515,88.59523575925579,,,0,1
2020-02-20,2063.558694373709,2004.7104574801062,2009.8824462890625,2077.500896456421,1944.8733222935796,2011.187109375,48.95384825545482,74.73207556797637,,,0,1
2020-02-24,2030.523519145398,1963.1950684944989,1971.2559814453125,2075.6534245259654,1940.3793269388786,2008.016375732422,20.048721075111636,49.25299621600053,,,0,1
2020-02-25,2028.3809253247787,1967.2029611881892,2009.27734375,2074.7510186990257,1940.0610174337867,2007.4060180664062,41.24951278435722,36.75069403830789,,,0,1
2020-02-26,2016.49861834214,1969.0192936139465,1978.9439697265625,2071.778946683527,1937.427803804754,2004.6033752441406,13.70645924971442,25.00156436972776,1978.9439697265625,,1,1
2020-02-27,1975.54254925653,1944.0915421228233,1962.076904296875,2072.094271619683,1932.5369417592235,2002.315606689453,13.421427659992865,22.79246656468817,,,0,1
2020-02-28,1928.5290448488697,1854.4444548196427,1863.903076171875,2089.2139048388376,1902.5852772900685,1995.899591064453,4.229170577638111,10.452352495781799,,,0,1
2020-03-02,1914.0383330116872,1850.437408289293,1864.974853515625,2099.707038206783,1884.846782593998,1992.2769104003905,6.3856237307273025,8.01207398945276,,,0,1
2020-03-03,1919.6763895674903,1874.9460659270828,1897.49755859375,2103.917984411143,1874.4574916630754,1989.1877380371093,20.671335841831173,10.42871005006553,,,0,1
2020-03-04,1951.7795674895929,1887.060429376709,1941.2958984375,2104.2706192865594,1871.8170760259404,1988.04384765625,39.9099100148309,22.322289862463123,,,0,1
2020-03-05,2001.4489575584444,1942.0881376913867,1980.2952880859375,2103.168287960175,1870.9158795202936,1987.0420837402344,57.040528506989304,39.20725812121713,,,0,1
2020-03-06,1978.9902637193716,1930.4860085729017,1972.28076171875,2102.793377578355,1870.1818055271135,1986.4875915527343,53.52011973061417,50.15685275081146,,,0,1
