Date,High,Low,Close,upper_bb,middle_bb,lower_bb,kc_middle,kc_upper,kc_lower,rsi_14,buy_price,sell_price,bb_kc_rsi_signal,position
2020-01-28,2038.7706259725703,2005.409218928878,2034.9964599609375,2091.4333961369925,2045.1632385253906,1998.8930809137887,2044.2596363229134,2113.9836615804766,1974.53561106535,49.3784272880259,,,0,1
2020-01-29,2037.9786338843196,2003.5456506461805,2007.8323974609375,2092.1872672026902,2044.786358642578,1997.3854500824661,2041.5537479186246,2111.181424975315,1971.9260708619338,42.61442435419839,,,0,1
2020-01-30,2017.5235150287199,1980.248253781076,1992.2230224609375,2094.2084725697523,2044.0915649414062,1993.97465731306,2037.984528584838,2108.1582644698938,1967.8107926997823,39.28429591410749,,,0,1
2020-01-31,1998.2805060806973,1930.4861160805458,1937.4285888671875,2107.807901515494,2038.6580383300782,1969.5081751446623,2030.8846259221111,2108.23601739158,1953.5332344526423,30.32552713531041,,,0,1
2020-02-03,2045.2006961745399,1950.6147047952295,1959.28125,2111.902677867529,2034.326416015625,1956.750154163721,2025.9425676840076,2118.3111058447244,1933.5740295232906,36.54101272203434,,,0,1
2020-02-04,1991.152131481748,1944.4649819548113,1964.1741943359375,2113.1560247823168,2029.9884338378906,1946.8208428934645,2021.7686459007487,2114.2455389246015,1929.2917528768958,37.87730749548331,,,0,1
2020-02-05,2009.7896872222364,1960.95916571891,2000.3311767578125,2103.022846373178,2025.1617431640625,1947.3006399549472,2020.3483763980264,2113.379493277308,1927.3172595187448,46.793517125791574,,,0,1
2020-02-06,2026.0968729245958,1971.3954700264587,1983.3702392578125,2099.691247621371,2021.3883728027345,1943.0854979840979,2017.9433232935398,2112.7126877011387,1923.1739588859411,43.63008569558985,,,0,1
2020-02-07,2004.477485539592,1974.6572719006952,1991.0118408203125,2095.4590331103727,2018.03427734375,1940.6095215771275,2016.2216954349383,2107.284166757355,1925.1592241125215,45.42037214840904,,,0,1
2020-02-10,2019.3875664612576,1974.6572465765598,2014.6815185546875,2093.8835815347898,2016.9422119140625,1940.0008422933352,2016.1248175539565,2107.0191879511517,1925.230447156761,50.6487389027399,,,0,1
2020-02-11,2026.6563944170314,2001.3092573319393,2006.7139892578125,2089.935879436835,2014.6824279785155,1939.4289765201963,2015.5417814720915,2102.238185593766,1928.8453773504168,48.948950482656095,,,0,1
2020-02-12,2036.161639257385,2003.5457777589831,2022.88232421875,2082.992959453789,2012.3012634277343,1941.6095674016794,2015.9901286825736,2100.454924268166,1931.5253330969813,52.43729288760145,,,0,1
2020-02-13,2047.343987292814,2023.1150643662718,2042.637939453125,2074.891311215647,2010.354669189453,1945.8180271632589,2017.5961140439852,2098.3803851109324,1936.811842977038,56.3610214316952,,,0,1
2020-02-14,2061.322496672715,2023.1153437054538,2035.4161376953125,2069.7899696660365,2008.9628173828125,1948.1356650995886,2018.656660765381,2098.9900001063415,1938.3233214244206,54.58817684606666,,,0,1
