Date,High,Low,Close,wr_14,macd,macd_signal,macd_hist,buy_price,sell_price,wr_macd_signal,position
2020-01-20,2084.731112066155,2004.7708589477897,2017.92724609375,-80.9111422120782,9.616001379944919,10.441857576255188,-0.8258561963102693,,,0,1
2020-01-21,2032.9894436342897,2006.4909881451824,2018.5780029296875,-80.27945458334004,6.463610189181054,9.646208098840361,-3.1825979096593073,,,0,1
2020-01-22,2054.7925352194634,2021.0418251017559,2051.91015625,-51.156075118046886,6.579103849443072,9.032787248960904,-2.453683399517832,,,0,1
2020-01-23,2066.6806519622905,2034.950034394279,2041.7061767578125,-61.72904578874095,5.780622126916114,8.382354224551946,-2.601732097635832,,,0,1
2020-01-24,2041.7067749463442,2022.1838930021293,2034.6710205078125,-69.01860382361838,4.527945952549544,7.6114725701514665,-3.0835266176019225,,,0,1
2020-01-27,2044.0357431754464,2017.5237559491868,2021.4842529296875,-82.68222466404852,2.442968106542594,6.577771677429693,-4.134803570887099,,,0,1
2020-01-28,2038.770259082447,2005.4088580423584,2034.99609375,-66.60678468931903,1.859466006516186,5.634110543246992,-3.774644536730806,,,0,1
2020-01-29,2037.9786338843196,2003.5456506461805,2007.8323974609375,-95.32720099893785,-0.7857888015382741,4.350130674289939,-5.135919475828213,,,0,1
2020-01-30,2017.5233914081598,1980.2481324444987,1992.222900390625,-89.59040137792854,-4.094529072129717,2.6611987250060074,-6.755727797135725,,,0,1
2020-01-31,1998.2805060806973,1930.4861160805458,1937.4285888671875,-95.78727936543604,-11.011241837886018,-0.07328938757239767,-10.93795245031362,,,0,1
2020-02-03,2045.2005687511348,1950.6145832648742,1959.2811279296875,-82.52707006316227,-14.561612064328756,-2.9709539229236697,-11.590658141405086,,,0,1
2020-02-04,1991.151636493954,1944.4644985731463,1964.1737060546875,-79.55823382039551,-16.787005729611792,-5.734164284261294,-11.052841445350499,,,0,1
2020-02-05,2009.789196632162,1960.9586870483759,2000.3306884765625,-57.61803029157748,-15.454925180386454,-7.678316463486327,-7.776608716900126,,,0,1
