Date,High,Low,Close,st,s_upt,st_dt,buy_price,sell_price,st_signal,position
2020-01-02,2026.853067265452,1998.262625643199,2006.119140625,2097.2000359473573,,2097.2000359473573,,,0,1
2020-01-03,2066.879580140011,2012.0231270458767,2046.09912109375,2097.2000359473573,,2097.2000359473573,,,0,1
2020-01-06,2069.622846877826,2034.24502971799,2045.9136962890625,2097.2000359473573,,2097.2000359473573,,,0,1
2020-01-07,2059.11587977353,2030.4325997681965,2050.93408203125,2097.2000359473573,,2097.2000359473573,,,0,1
2020-01-08,2101.281400257039,2047.4012433794885,2096.864990234375,2097.2000359473573,,2097.2000359473573,,,0,1
2020-01-09,2093.796388743453,2054.792566200271,2058.837158203125,2097.2000359473573,,2097.2000359473573,,,0,1
2020-01-10,2077.107266909982,2052.9332342601792,2058.093505859375,2097.2000359473573,,2097.2000359473573,,,0,1
2020-01-13,2063.1141262288884,2031.2694878286297,2036.5228271484375,2097.2000359473573,,2097.2000359473573,,,0,1
2020-01-14,2073.2017874273915,2040.845736726367,2051.909912109375,2097.2000359473573,,2097.2000359473573,,,0,1
2020-01-15,2074.318009266578,2040.1024090756014,2070.505859375,2097.2000359473573,,2097.2000359473573,,,0,1
2020-01-16,2091.053681274792,2059.441486893581,2081.570068359375,2097.2000359473573,,2097.2000359473573,,,0,1
2020-01-17,2095.2844561114343,2057.582215130227,2063.25390625,2097.2000359473573,,2097.2000359473573,,,0,1
2020-01-20,2084.7312381776287,2004.7709802222341,2017.9273681640625,2097.2000359473573,,2097.2000359473573,,,0,1
2020-01-21,2032.9900583433975,2006.4915948420294,2018.57861328125,2097.2000359473573,,2097.2000359473573,,,0,1
2020-01-22,2054.7922907358866,2021.0415846339104,2051.909912109375,2097.2000359473573,,2097.2000359473573,,,0,1
2020-01-23,2066.6811462162746,2034.9505210597736,2041.7066650390625,2097.2000359473573,,2097.2000359473573,,,0,1
2020-01-24,2041.7057950069573,2022.182922432962,2034.6700439453125,2097.2000359473573,,2097.2000359473573,,,0,1
2020-01-27,2044.035866607564,2017.5238777803388,2021.484375,2097.2000359473573,,2097.2000359473573,,,0,1
2020-01-28,2038.7705036758625,2005.4090986333713,2034.996337890625,2097.2000359473573,,2097.2000359473573,,,0,1
2020-01-29,2037.9786338843196,2003.5456506461805,2007.8323974609375,2097.2000359473573,,2097.2000359473573,,,0,1
2020-01-30,2017.524380372641,1980.2491031371187,1992.223876953125,2097.2000359473573,,2097.2000359473573,,,0,1
2020-01-31,1998.2810096981773,1930.4866026121163,1937.4290771484375,2080.000951271426,,2080.000951271426,,,0,1
2020-02-03,2045.2004413277302,1950.614461734519,1959.281005859375,2080.000951271426,,2080.000951271426,,,0,1
2020-02-04,1991.1515127470054,1944.4643777277302,1964.173583984375,2080.000951271426,,2080.000951271426,,,0,1
2020-02-05,2009.7894419271993,1960.958926383643,2000.3309326171875,2080.000951271426,,2080.000951271426,,,0,1
2020-02-06,2026.0972470246102,1971.395834026366,1983.37060546875,2080.000951271426,,2080.000951271426,,,0,1
2020-02-07,2004.477485539592,1974.6572719006952,1991.0118408203125,2080.000951271426,,2080.000951271426,,,0,1
2020-02-10,2019.3878111721654,1974.6574858670135,2014.6817626953125,2080.000951271426,,2080.000951271426,,,0,1
2020-02-11,2026.6563944170314,2001.3092573319393,2006.7139892578125,2080.000951271426,,2080.000951271426,,,0,1
2020-02-12,2036.161639257385,2003.5457777589831,2022.88232421875,2080.000951271426,,2080.000951271426,,,0,1
2020-02-13,2047.3444766990187,2023.115547980687,2042.638427734375,2080.000951271426,,2080.000951271426,,,0,1
2020-02-14,2061.3221258007197,2023.1149797076682,2035.415771484375,2080.000951271426,,2080.000951271426,,,0,1
2020-02-17,2065.981831039728,2041.0073547429834,2053.16845703125,2080.000951271426,,2080.000951271426,,,0,1
2020-02-18,2069.7097629365057,2037.1405350416007,2064.8173828125,2080.000951271426,,2080.000951271426,,,0,1
2020-02-19,2078.0961306099766,2041.2868045296652,2046.7384033203125,2080.000951271426,,2080.000951271426,,,0,1
2020-02-20,2063.5584437130246,2004.7102139677231,2009.8822021484375,2080.000951271426,,2080.000951271426,,,0,1
2020-02-24,2030.5236448858616,1963.1951900656381,1971.256103515625,2080.000951271426,,2080.000951271426,,,0,1
2020-02-25,2028.380678862941,1967.202722159883,2009.277099609375,2080.000951271426,,2080.000951271426,,,0,1
2020-02-26,2016.49861834214,1969.0192936139465,1978.9439697265625,2080.000951271426,,2080.000951271426,,,0,1
2020-02-27,1975.542795072681,1944.0917840255352,1962.0771484375,2080.000951271426,,2080.000951271426,,,0,1
2020-02-28,1928.5291711516513,1854.4445762704934,1863.9031982421875,2041.1281535378396,,2041.1281535378396,,,0,1
2020-03-02,1914.0382077299673,1850.4372871705166,1864.9747314453125,2035.6841460829212,,2035.6841460829212,,,0,1
2020-03-03,1919.6761425732366,1874.945824688035,1897.497314453125,2035.6841460829212,,2035.6841460829212,,,0,1
2020-03-04,1951.7796902191274,1887.0605480366498,1941.2960205078125,2035.6841460829212,,2035.6841460829212,,,0,1
2020-03-05,2001.449327681276,1942.0884968367739,1980.295654296875,2035.6841460829212,,2035.6841460829212,,,0,1
2020-03-06,1978.9906311761222,1930.4863670234352,1972.2811279296875,2035.6841460829212,,2035.6841460829212,,,0,1
2020-03-09,1938.2205048235915,1803.1909480871752,1837.9967041015625,2035.6841460829212,,2035.6841460829212,,,0,1
2020-03-11,1851.9288753715014,1789.2131803700286,1820.6175537109375,2011.4369175920222,,2011.4369175920222,,,0,1
2020-03-12,1778.4028923500416,1638.5740108684804,1649.2906494140625,1931.9286214429685,,1931.9286214429685,,,0,1
2020-03-13,1696.0245451676362,1403.4603566282512,1683.2578125,1833.1243079267383,,1833.1243079267383,,,0,1
2020-03-16,1716.7593026082275,1561.6941432286221,1580.8443603515625,1833.1243079267383,,1833.1243079267383,,,0,1
2020-03-17,1613.086921719504,1512.5835218781153,1545.0595703125,1833.1243079267383,,1833.1243079267383,,,0,1
2020-03-18,1596.8257759556743,1516.8702884339043,1541.7049560546875,1833.1243079267383,,1833.1243079267383,,,0,1
2020-03-19,1582.115802067989,1451.9194801051162,1536.026123046875,1820.435386318593,,1820.435386318593,,,0,1
2020-03-20,1754.4123677817763,1527.2492896634296,1687.2490234375,1820.435386318593,,1820.435386318593,,,0,1
2020-03-23,1642.7083109436621,1518.566497159491,1567.3314208984375,1820.435386318593,,1820.435386318593,,,0,1
2020-03-24,1661.481894797274,1532.7404922916417,1598.73046875,1820.435386318593,,1820.435386318593,,,0,1
2020-03-25,1699.0296397283446,1576.9998865986845,1642.9898681640625,1820.435386318593,,1820.435386318593,,,0,1
2020-03-26,1719.7282260390396,1616.9416013659156,1681.14794921875,1820.435386318593,,1820.435386318593,,,0,1
2020-03-27,1736.577106286611,1643.0835725626953,1712.6405029296875,1820.435386318593,,1820.435386318593,,,0,1
2020-03-30,1788.2048851873287,1655.4271982082967,1669.4605712890625,1820.435386318593,,1820.435386318593,,,0,1
2020-03-31,1741.2708785793773,1670.8690910357366,1714.1427001953125,1820.435386318593,,1820.435386318593,,,0,1
2020-04-01,1722.2620391153644,1597.650900980706,1603.987060546875,1820.435386318593,,1820.435386318593,,,0,1
2020-04-03,1633.3212984881197,1548.8391623594239,1552.7816162109375,1820.435386318593,,1820.435386318593,,,0,1
2020-04-07,1676.3601120958806,1600.4670214169041,1666.363037109375,1820.435386318593,,1820.435386318593,,,0,1
2020-04-08,1695.2750229295646,1596.7125215964504,1600.8896484375,1820.435386318593,,1820.435386318593,,,0,1
2020-04-09,1669.7426211928591,1625.0608640263106,1657.8681640625,1820.435386318593,,1820.435386318593,,,0,1
2020-04-13,1677.4397723084232,1638.9534652772843,1651.39111328125,1820.435386318593,,1820.435386318593,,,0,1
2020-04-15,1700.9070113587334,1621.8693252084545,1628.7686767578125,1820.435386318593,,1820.435386318593,,,0,1
2020-04-16,1656.694976317769,1572.3536532306919,1610.8399658203125,1820.435386318593,,1820.435386318593,,,0,1
2020-04-17,1738.4076094483173,1645.524241858994,1695.4625244140625,1820.435386318593,,1820.435386318593,,,0,1
2020-04-20,1717.803404947155,1691.9894193536868,1707.1492919921875,1820.435386318593,,1820.435386318593,,,0,1
2020-04-21,1684.5739797209283,1621.7755611854388,1631.1156005859375,1820.435386318593,,1820.435386318593,,,0,1
2020-04-22,1680.2559723736842,1613.7497742615049,1661.0128173828125,1820.435386318593,,1820.435386318593,,,0,1
2020-04-23,1783.511360256805,1652.8925974554932,1763.0948486328125,1820.435386318593,,1820.435386318593,,,0,1
2020-04-24,1738.4077109548384,1696.9646197829027,1707.0555419921875,1820.435386318593,,1820.435386318593,,,0,1
2020-04-27,1760.0445138579316,1713.1099934883869,1723.998779296875,1820.435386318593,,1820.435386318593,,,0,1
2020-04-28,1753.4736207181165,1720.2439585217376,1745.0723876953125,1820.435386318593,,1820.435386318593,,,0,1
2020-04-29,1795.2922940190335,1736.624146513591,1788.8153076171875,1820.435386318593,,1820.435386318593,,,0,1
2020-04-30,1907.419009652793,1823.1245607342325,1890.9449462890625,1612.420460993323,1612.420460993323,,1890.9449462890625,,1,1
2020-05-04,1845.4650897677955,1796.324676546003,1812.0946044921875,1612.420460993323,1612.420460993323,,,,0,1
2020-05-05,1855.7912069963863,1808.856679758238,1814.254150390625,1612.420460993323,1612.420460993323,,,,0,1
2020-05-06,1833.91935650961,1777.504087375425,1786.8909912109375,1612.420460993323,1612.420460993323,,,,0,1
2020-05-07,1815.8495861509305,1767.8825299529472,1775.6737060546875,1612.420460993323,1612.420460993323,,,,0,1
2020-05-08,1820.5901353275826,1770.6048686577224,1777.3165283203125,1612.420460993323,1612.420460993323,,,,0,1
2020-05-11,1831.760229409267,1791.9597387482183,1816.6473388671875,1612.420460993323,1612.420460993323,,,,0,1
2020-05-12,1836.5477614890738,1793.1333306335307,1829.9769287109375,1612.420460993323,1612.420460993323,,,,0,1
2020-05-13,1871.7484453120435,1807.5889866660584,1830.1175537109375,1631.989245013685,1631.989245013685,,,,0,1
2020-05-14,1805.1953536764283,1775.1572630669968,1785.717529296875,1631.989245013685,1631.989245013685,,,,0,1
2020-05-15,1799.845207543677,1750.845494149446,1776.8472900390625,1631.989245013685,1631.989245013685,,,,0,1
2020-05-18,1833.2153916400773,1757.3222948564512,1826.3160400390625,1631.989245013685,1631.989245013685,,,,0,1
2020-05-19,1845.8876975739834,1786.3278373242792,1829.1790771484375,1631.989245013685,1631.989245013685,,,,0,1
