Date,High,Low,Close,Volume,obv,macd,macd_signal,macd_hist,rsi_14,buy_price,sell_price,obv_macd_rsi_signal,position
2020-01-07,2068.54168712753,2014.32648007359,2023.850830078125,620687,-1247577,-9.328745990731477,-2.6405187284273737,-6.688227262304103,2.952766911444016,,,0,0
2020-01-08,2021.2650404192705,1991.5285135040722,1997.56201171875,595883,-1843460,-15.053206909441997,-5.123056364630299,-9.930150544811697,2.127651407352033,,,0,0
2020-01-09,2038.4604780035995,2004.9315505084899,2029.453369140625,732115,-1111345,-16.82259698692087,-7.462964489088414,-9.359632497832457,28.302148520529585,,,0,0
2020-01-10,2058.026027509312,2026.3933030193816,2037.124267578125,578287,-533058,-17.405237235094773,-9.451419038289686,-7.953818196805088,32.9472263471616,,,0,0
2020-01-13,2053.888684600387,2027.5569456537812,2039.9686279296875,434063,-98995,-17.436470937270315,-11.048429418085812,-6.388041519184503,34.638188928468,,,0,0
2020-01-14,2084.831763440813,2035.055414876144,2078.453369140625,787340,688345,-14.192227719158836,-11.677189078300417,-2.5150386408584193,52.201907010862726,,,0,0
2020-01-15,2138.0560170787585,2080.6946538597103,2134.392822265625,1051367,1739712,-7.026300416146569,-10.747011345869648,3.7207109297230794,66.35444675987384,,,0,0
2020-01-16,2133.22921232855,2091.89979614333,2098.3642578125,590255,1149457,-4.205971626102837,-9.438803401916285,5.232831775813448,55.049022811884754,,,0,0
2020-01-17,2133.186090822228,2087.245484539427,2115.171875,457663,1607120,-0.6076024380217859,-7.672563209137386,7.0649607711156,58.59332731712969,,,0,0
2020-01-20,2120.0422430393965,2077.333856381704,2082.074462890625,320280,1286840,-0.42169247388528674,-6.222389062086966,5.80069658820168,50.19943668675082,,,0,0
2020-01-21,2079.5309360841693,2047.079424330094,2067.507080078125,568473,718367,-1.4333013306286375,-5.264571515795301,3.8312701851666633,47.0074985504696,,,0,0
2020-01-22,2077.247399864998,2050.52762003271,2067.809326171875,346888,1065255,-2.1854276544372624,-4.648742743523694,2.4633150890864313,47.082681143557146,,,0,0
2020-01-23,2098.6664267788333,2051.3895703647495,2094.2705078125,315469,1380724,-0.6389317641019261,-3.8467805476393404,3.2078487835374143,53.32594430089646,,,0,0
