Date,High,Low,Close,Volume,obv,macd,macd_signal,macd_hist,rsi_14,buy_price,sell_price,obv_macd_rsi_signal,position
2020-01-07,1477.7661870117788,1451.7393787160738,1457.8023681640625,365266,1357264,11.37609658846327,5.495458174092761,5.880638414370509,96.38916470789376,,,0,0
2020-01-08,1458.6897167814086,1437.3950001081002,1452.8238525390625,190163,1167101,12.23160206891589,6.842686953057387,5.388915115858503,95.747171757944,,,0,0
2020-01-09,1477.5196209735025,1452.1828735579743,1458.6895751953125,254798,1421899,13.230399314568103,8.12022942535953,5.1101698892085725,95.78281124262311,,,0,0
2020-01-10,1480.7730784482685,1455.1405218306554,1464.900634765625,364434,1786333,14.357628127288308,9.367709165745286,4.989918961543022,95.82272981417104,,,0,0
2020-01-13,1482.7447328606595,1458.5416373876712,1462.485107421875,374704,1411629,14.884473270775288,10.471061986751288,4.413411284024001,95.44434551869256,,,0,0
2020-01-14,1480.773167159237,1462.9289872831425,1472.1961669921875,308514,1720143,15.90229147403602,11.557307884208235,4.344983589827784,95.52092150184657,,,0,0
2020-01-15,1507.3913639176953,1466.9707975863512,1490.582275390625,932167,2652310,17.985202799269246,12.84288686722044,5.142315932048806,95.6693452011661,,,0,0
2020-01-16,1584.2892233749744,1496.5963490368713,1569.0576171875,2305288,4957598,25.672295031618205,15.408768500099994,10.263526531518211,96.24177866560535,,,0,0
2020-01-17,1601.049173612027,1557.6709940314058,1595.7254638671875,893254,5850852,33.529733466947846,19.032961493469564,14.496771973478282,96.41518981982259,,,0,0
2020-01-20,1635.5543831821865,1593.655009291142,1606.5206298828125,1047368,6898220,40.16489382103737,23.259347958983128,16.90554586205424,96.48587652705294,,,0,0
2020-01-21,1619.287462758495,1598.0913102779423,1603.2177734375,317357,6580863,44.64218596240971,27.535915559668446,17.106270402741266,95.86304888274823,,,0,0
2020-01-22,1640.4836310237326,1603.5135972716955,1611.3511962890625,736367,7317230,48.29011312728585,31.68675507319193,16.60335805409392,95.93267644540005,,,0,0
2020-01-23,1675.8762142292335,1608.196385198441,1663.0599365234375,764590,8081820,54.72277479222703,36.293959016998954,18.428815775228074,96.35293763232951,,,0,0
2020-01-24,1673.5594393629274,1625.7940863070555,1645.1170654296875,1023849,7057971,57.707647920616864,40.57669679772254,17.130951122894324,92.77086148637524,,,0,0
2020-01-27,1688.7913417132322,1638.5120898583725,1672.0809326171875,791549,7849520,61.539550484362735,44.76926753505058,16.770282949312154,93.18112020018583,,,0,0
2020-01-28,1680.7073204801222,1650.1454214640478,1654.03955078125,681671,7167849,62.401249378056264,48.295663903651715,14.105585474404549,89.52040770405154,,,0,0
2020-01-29,1670.9963855972753,1647.4342441871868,1664.1446533203125,230705,7398554,63.17134929072654,51.270800981066685,11.900548309659854,89.76299399949647,,,0,0
2020-01-30,1685.5870492231843,1656.5039564013778,1666.9049072265625,634505,8033059,63.27499370154237,53.67163952516182,9.603354176380549,89.83223136311497,,,0,0
2020-01-31,1675.235731625594,1633.0405448595532,1636.737548828125,377299,7655760,60.22860111753084,54.98303184363563,5.245569273895214,83.20842257683108,,,0,0
2020-02-03,1693.3261652158585,1593.1620411529955,1671.883544921875,584886,8240646,59.95912968035623,55.97825141097975,3.9808782693764755,84.63030625908686,,,0,0
2020-02-04,1680.8055512925253,1637.5259432918199,1647.4339599609375,384789,7855857,57.11431616796085,56.20546436237598,0.9088518055848738,79.58175899687711,,,0,0
2020-02-05,1657.2434757984156,1626.6815794571003,1634.0262451171875,438855,7417002,53.16503697649205,55.59737888519919,-2.4323419087071443,76.87353053556946,,1634.0262451171875,-1,0
2020-02-06,1642.1595829610903,1599.274343150312,1621.801513671875,552992,6864010,48.48981074849053,54.17586525785746,-5.686054509366933,74.38786271225678,,,0,0
2020-02-07,1654.778549417319,1604.9922421515612,1639.6455078125,554048,7418058,45.69774630473853,52.48024146723368,-6.782495162495152,75.62671019785661,,,0,0
