Date,High,Low,Close,Volume,plus_di,minus_di,adx,rsi_14,buy_price,sell_price,adx_rsi_signal,position
2020-01-27,679.1293238569344,664.9710441762822,675.0780029296875,1175606,27.780977592376683,16.818317145161338,18.771811730981106,71.2505258940016,,,0,0
2020-01-28,678.7027651865152,669.1928030103023,677.4234008789062,1506685,26.021848514696046,15.753358555085423,19.927669690840276,73.8485222904068,,,0,0
2020-01-29,688.4684897674695,676.8262554370414,685.8671264648438,2565136,31.400767861531424,14.342046060248414,20.909024372435933,80.63365743351426,,,0,0
2020-01-30,689.1083432434965,668.6811472743234,674.9500122070312,2493688,27.014540319933683,17.985040525654878,23.32903445054021,59.23454526359322,,,0,0
2020-01-31,684.4597371381392,667.8280052076797,679.4275512695312,3081521,23.937325872050664,16.521735652986376,22.831940714080048,63.511649531756944,,,0,0
2020-02-03,698.2769950524729,674.2249375335226,676.4851684570312,3383074,29.226445739958013,14.140979622029775,22.37778992166272,59.12179967030783,,,0,0
2020-02-04,693.4154708586656,677.4660517078644,691.794921875,1779834,26.171819281779435,12.663023291576634,23.967630970071394,70.5340336543198,,,0,0
2020-02-05,695.9741580720972,688.2979725051256,694.3109741210938,1613898,26.125468288664962,11.877881985964104,25.302800872596638,71.92139798165796,,,0,0
2020-02-06,704.460575274426,690.8992941072065,697.424072265625,1553656,28.513688093180484,10.665136320537783,26.777059040969544,73.57898800506803,,,0,0
2020-02-07,704.0341228372936,694.4815264918633,703.1812133789062,1397438,26.124532978276328,9.771507095581189,28.854604695050394,76.35853930742812,,,0,0
2020-02-10,705.4413779348735,692.1360114762443,693.9697875976562,1098971,24.057643020559205,10.023901502989098,30.59931588420989,64.64096438371077,,,0,0
2020-02-11,700.9636976051188,691.7522848140528,699.3432006835938,1143705,22.43792158635671,9.566293856919314,31.680210582899505,67.74994909506297,,,0,0
2020-02-12,704.887196416635,696.6565974038582,700.665283203125,1394424,23.227874038064563,8.948926110531536,32.56125961724487,68.48419180185834,,,0,0
2020-02-13,707.9149255430065,694.566870280564,706.2091064453125,1737974,24.121047709301024,9.8383190510928,33.69099258584687,71.42232588757791,,,0,0
2020-02-14,714.738148467876,703.692960225048,711.4544677734375,2143044,26.659622209500572,9.215641019349267,34.52654822895562,73.90151251259418,,,0,0
2020-02-17,713.8853004929399,705.740024620434,710.6868896484375,793328,24.75714620802497,8.557997196051643,35.82945968558612,72.90479905794267,,710.6868896484375,-1,0
2020-02-18,716.4439729928889,703.9488281171106,715.4204711914062,1507814,24.235783800602754,8.911912491382216,36.972154468198745,75.1322372695528,,,0,0
2020-02-19,720.5806210383462,713.0750273208469,717.211669921875,881874,26.651995918876974,8.842869752906568,37.81943359039621,75.93831679004191,,,0,0
2020-02-20,721.4762597903467,705.3136122723015,707.5737915039062,1066232,25.235822376734717,13.057502882528105,38.78348797244397,63.9303236875356,,,0,0
2020-02-24,719.7704829620648,695.7610552079043,699.47119140625,2917544,23.3149074243312,18.028414515877618,38.06681266906469,55.92396466741043,,,0,0
2020-02-25,705.1855649486264,690.0464213073079,701.1768798828125,2479975,21.77137000898304,20.4232862397587,35.86723743040473,57.140801090010285,,,0,0
2020-02-26,704.0766890611418,689.3213672851616,692.0933227539062,2212784,19.317456384173912,18.556364248665528,33.12868535100463,49.33021526994387,,,0,0
2020-02-27,699.1298983041364,682.4981637501452,690.1317138671875,1907768,17.557086456936545,20.872538138279833,30.59739436633025,47.81036605144871,,,0,0
2020-02-28,689.1509098288408,624.37241971252,634.9058837890625,5959364,12.367945917484754,40.600496408281664,29.06343571331493,24.719459610029915,,,0,0
2020-03-02,652.2395257125321,634.9058464534226,643.6807250976562,3784522,11.251134141558014,36.934316688564586,31.023142022033973,30.46589446151893,,,0,0
2020-03-03,655.006029158978,641.5626510715617,650.3807983398438,2168900,11.414901169049786,33.58961759748655,32.78452630501382,34.57266068528749,,,0,0
2020-03-04,669.8758096359339,646.6633818098455,666.8067626953125,2685540,15.926305682963163,29.29589125768817,33.98204730974038,43.39867655859231,,,0,0
2020-03-05,677.7861723924765,650.4239926683236,653.6659545898438,2126955,16.994278968182915,25.733558161266867,33.58272937512397,38.88003425192255,,,0,0
2020-03-06,648.1762886339584,632.3123085448398,640.093017578125,2004893,15.166205334256212,29.576992023448877,32.621578957035766,34.84449066336836,,,0,0
2020-03-09,631.1019755629017,602.1836621567912,609.3159790039062,3429034,12.712970639430972,34.72116949053193,32.66816692076309,27.79859861393912,,,0,0
2020-03-11,617.1830302987049,575.7723548424082,612.5578002929688,4626185,10.78237940386991,37.39799257502171,33.776805074836595,29.41759267430146,,,0,0
2020-03-12,596.520990327733,550.787693296084,561.8103637695312,3796919,8.623015027887671,36.38512192831092,35.45965424898991,21.347798663947273,561.8103637695312,,1,1
2020-03-13,579.230586712583,454.65280551271513,567.0840454101562,4553639,6.274774425035407,46.006000521920164,37.53978352563762,23.6905077708456,,,0,1
2020-03-16,548.7992529383508,510.93315173840944,521.6532592773438,6499354,5.467863910810105,40.08981564832885,40.46147661290019,18.561423915888952,,,0,1
2020-03-17,534.2321058861861,504.2763568028273,514.7803344726562,3333465,4.932693351515743,37.39889952702039,43.15275341386341,17.929015140070604,,,0,1
2020-03-18,528.4398235661293,493.3402015858889,501.12091064453125,3548257,4.410615744676785,35.39100426037068,45.685111866241705,16.7104461678788,,,0,1
2020-03-19,499.3918144806376,452.14560362617925,458.197265625,4931298,3.8708192056676096,38.00334794668914,48.11693541715376,13.585642350916046,,,0,1
