Date,High,Low,Close,Volume,upper_bb,middle_bb,lower_bb,%k,%d,buy_price,sell_price,bb_stoch_signal,position
2020-02-27,699.1298983041364,682.4981637501452,690.1317138671875,1907768,722.104094635147,674.1940254820404,698.1490600585937,19.584267239384314,22.340772553672537,,,0,1
2020-02-28,689.1507773290971,624.3722996674262,634.90576171875,5959364,732.0035644630201,660.2901489158861,696.1468566894531,10.847627161546114,13.017531830542035,,,0,1
2020-03-02,652.2395257125321,634.9058464534226,643.6807250976562,3784522,736.702380026905,652.016632424267,694.359506225586,19.884307659069073,16.772067353333167,,,0,1
2020-03-03,655.006029158978,641.5626510715617,650.3807983398438,2168900,739.1592662338861,646.9493092055669,693.0542877197265,26.7842135145392,19.17204944505146,,,0,1
2020-03-04,669.875748319857,646.6633226184834,666.8067016601562,2685540,739.3843029357973,644.2254565856871,691.8048797607422,43.70002658171205,30.12284925177344,,,0,1
2020-03-05,677.7862356798248,650.4240534007662,653.666015625,2126955,740.2831851998912,639.2620845754993,689.7726348876953,30.16741384130765,33.55055131251964,,,0,1
2020-03-06,648.1762886339584,632.3123085448398,640.093017578125,2004893,741.8968451159892,631.9153130871357,686.9060791015625,16.189595194456416,30.01901187249204,,,0,1
2020-03-09,631.1020387803603,602.1837224775037,609.3160400390625,3429034,746.5781113441346,617.8475356285217,682.2128234863281,5.978852629027518,17.445287221597194,,,0,1
2020-03-11,617.1830917947183,575.7724122122688,612.557861328125,4626185,749.3142519786353,606.9702023670678,678.1422271728516,25.24674615778831,15.80506466042408,,,0,1
2020-03-12,596.520990327733,550.787693296084,561.8103637695312,3796919,758.5627528216091,583.9684178326877,671.2655853271484,6.457772033445831,12.561123606753887,,,0,1
2020-03-13,579.2305243700966,454.6527565785135,567.083984375,4553639,762.2390205093064,566.9340263656935,664.5865234375,42.40805871419703,24.70419230181039,,,0,1
2020-03-16,548.7993171496781,510.9332115192776,521.6533203125,6499354,769.8741595273684,540.8433087343503,655.3587341308594,26.74323598013591,25.203022242592926,,,0,1
2020-03-17,534.2321058861861,504.2763568028273,514.7803344726562,3333465,772.8224305793357,518.227624352305,645.5250274658204,24.106567224398347,31.08595397291043,,,0,1
2020-03-18,528.4397592036041,493.3401414984017,501.120849609375,3548257,773.7494384373051,496.3440185939449,635.046728515625,19.00713199723707,23.28564506725711,,,0,1
2020-03-19,499.39188100320274,452.14566385521084,458.19732666015625,4931298,776.3489729012078,468.0221696769172,622.1855712890625,2.553389129982714,15.222362783872713,,,0,1
2020-03-20,514.7803382205143,453.96110083163217,498.2679138183594,6315992,768.0614543306244,454.41531874066465,611.2383865356445,20.440583708056927,14.000368278425574,,,0,1
2020-03-23,468.57153559413126,407.5361974522874,421.1956787109375,2912669,768.3249040377743,425.51406996124905,596.9194869995117,5.054386429780806,9.349453089273485,,,0,1
2020-03-24,461.61222026351373,421.02284133138346,435.2874755859375,4082147,762.4029644911961,405.0176501328274,583.7103073120118,10.268741612641277,11.921237250159672,,,0,1
2020-03-25,469.3064092228376,438.35648847686195,455.3443908691406,3664272,749.9096175747735,392.92775425139837,571.4186859130859,17.690355838766262,11.004494627062783,,,0,1
2020-03-26,488.3691889291505,443.5004126270267,445.4023742675781,5979874,736.5547819401238,381.6134828303841,559.084132385254,15.735606078499897,14.564901176635814,,,0,1
2020-03-27,465.80505906961713,430.532525375266,435.8061218261719,4672139,720.7208663357568,372.0148392306495,546.3678527832031,12.64501061787861,15.356990845048259,,,0,1
2020-03-30,460.22890991447935,419.8556918218008,455.4308166503906,4138337,711.0332617779002,363.75494928167024,537.3941055297852,22.845375004636892,17.075330567005135,,,0,1
2020-03-31,497.3170418574892,456.3386152158997,488.887939453125,3652911,697.0324539162252,362.27647857889207,529.6544662475586,43.046713316480535,26.179032979665347,,,0,1
2020-04-01,484.3922764514215,440.90677560661743,441.9442138671875,4114437,680.8162843960653,357.64898965178634,519.2326370239258,20.040275664653347,28.64412132859026,,,0,1
