Date,High,Low,Close,Volume,%k,%d,macd,macd_signal,macd_hist,buy_price,sell_price,stoch_macd_signal,position
2020-01-22,698.1308360112488,687.3627511370393,691.131591796875,9733935,88.80920910181729,84.68487611791605,7.782691794057541,5.451599782079253,2.3310920119782885,,,0,1
2020-01-23,704.8608206966264,696.9642368419196,703.828857421875,12528017,98.51033087148224,88.54769059527644,9.006066865498724,6.162493198763147,2.843573666735577,,,0,1
2020-01-24,705.7581536028949,694.1824416996515,702.3931274414062,7540490,95.2046024938957,94.17471415573175,9.747387200915455,6.879471999193608,2.8679152017218463,,,0,1
2020-01-27,704.2326498919399,694.9003437209078,698.220458984375,3741610,89.25825825988967,94.32439720842255,9.884249954872644,7.480427590329416,2.4038223645432275,,,0,1
2020-01-28,701.540619412212,692.7466956288158,698.1307373046875,5121009,88.2271244282489,90.89666172734475,9.87168029814211,7.958678131891956,1.9130021662501537,,,0,1
2020-01-29,711.4113103911702,703.7390625187185,708.6295776367188,6832757,95.02410957294688,90.83649742036181,10.586848823792707,8.484312270272106,2.1025365535206006,,,0,1
2020-01-30,708.6296516329361,698.1307590836018,700.5535888671875,3859680,67.98957461398103,83.74693620505894,10.382279774538802,8.863905771125445,1.5183740034133564,,,0,1
2020-01-31,704.3672612215951,692.3877356648419,696.2911987304688,6092028,48.23359457671151,70.4157595878798,9.763668573766495,9.043858331653656,0.719810242112839,,,0,1
2020-02-03,709.7513103051258,686.0166487818977,688.6189575195312,6416745,21.96630515827961,46.063158116324054,8.555704162331267,8.946227497789177,-0.3905233354579103,,,0,1
2020-02-04,708.8091349135218,691.0417529065148,706.9695434570312,5771311,84.7928168079595,51.66423884765021,8.97565680180719,8.95211335859278,0.02354344321441104,,,0,1
2020-02-05,705.3095162799448,694.9003901102542,704.0083618164062,6310409,74.25932694871173,60.339482971650284,8.96617321978772,8.954925330831767,0.0112478889559533,,,0,1
2020-02-06,706.0273091536454,690.9520036639294,692.1633911132812,7341622,33.073370421795026,64.04183805948874,7.91166650291575,8.746273565248563,-0.8346070623328128,,,0,1
2020-02-07,698.8934910632885,691.849391411247,697.5026245117188,2853344,51.638332729138945,52.990343366548565,7.421246337687194,8.48126811973629,-1.0600217820490965,,,0,1
2020-02-10,698.1307085374779,690.7276515382051,693.823486328125,3827682,30.742042033656038,38.484581728196666,6.658948901991494,8.116804276187331,-1.4578553741958373,,,0,1
2020-02-11,699.1178623914582,690.2342255642212,694.1376342773438,4312817,31.97910498039774,38.119826581064245,6.010882099011042,7.695619840752074,-1.6847377417410323,,,0,1
2020-02-12,702.8418355230475,695.52848969638,700.86767578125,2948825,58.48090133215097,40.40068278206825,5.9715067796197445,7.350797228525609,-1.3792904489058646,,,0,1
2020-02-13,712.4882533614212,701.8996479555038,710.9179077148438,4387430,94.067810880674,61.50927239774091,6.67433371463278,7.215504525747043,-0.541170811114263,,,0,1
2020-02-14,717.1544071497443,704.0532053886855,705.7133178710938,5321680,63.256541644742015,71.935084619189,6.733739858920558,7.119151592381747,-0.38541173346118907,,,0,1
2020-02-17,711.9947571370681,702.8867300951073,708.4053955078125,2929629,71.902243126897,76.40886521743768,6.918297990178758,7.078980871941149,-0.16068288176239154,,,0,1
2020-02-18,717.0196711445406,703.200665016926,715.763427734375,5083346,95.53282095988752,76.89720191050884,7.571019347668994,7.177388567086719,0.3936307805822752,,,0,1
2020-02-19,722.2242651430282,714.4174489257409,718.2760009765625,3985192,89.09548718400515,85.51018375692989,8.196564494963354,7.381223752662046,0.8153407423013084,,,0,1
2020-02-20,723.3458883768809,712.3534713058149,715.1801147460938,4564569,78.12499338485162,87.58443384291475,8.346290543604368,7.574237110850511,0.7720534327538573,,,0,1
2020-02-24,728.281426333833,710.8281998581299,714.1483154296875,6627536,62.85374319722994,76.69140792202892,8.286174077343617,7.716624504149133,0.5695495731944842,,,0,1
2020-02-25,723.256287866985,713.7445025149182,716.4365234375,6996695,68.86787291381106,69.94886983196422,8.327180059359762,7.8387356151912595,0.4884444441685023,,,0,1
2020-02-26,719.1734021872244,700.374111744513,702.3931274414062,8760569,31.957415082416052,54.559677064485676,7.144139708722719,7.699816433897552,-0.5556767251748331,,,0,1
2020-02-27,700.5985249163273,692.9262753667832,697.9962158203125,5223386,20.400949607548437,40.408745867925184,5.7850907609998785,7.316871299318018,-1.5317805383181398,,,0,1
2020-02-28,679.107143472422,647.9245673409297,656.5839233398438,14123957,10.776125532331736,21.04483007409874,1.350837162364769,6.123664471927369,-4.7728273095626,,,0,1
